state_id,year,teen_employment_count
ST01,2000,55749
ST01,2001,55318
ST01,2002,55485
ST01,2003,54878
ST01,2004,54036
ST01,2005,55076
ST01,2006,54152
ST01,2007,54632
ST01,2008,54216
ST01,2009,54677
ST01,2010,54282
ST01,2011,53462
ST01,2012,54396
ST01,2013,53912
ST01,2014,53769
ST01,2015,54151
ST01,2016,55753
ST01,2017,55052
ST01,2018,55186
ST01,2019,53985
ST02,2000,54593
ST02,2001,54087
ST02,2002,53843
ST02,2003,54465
ST02,2004,54792
ST02,2005,55621
ST02,2006,55972
ST02,2007,53917
ST02,2008,54046
ST02,2009,54662
ST02,2010,54878
ST02,2011,55163
ST02,2012,55559
ST02,2013,54524
ST02,2014,54814
ST02,2015,54740
ST02,2016,56040
ST02,2017,55146
ST02,2018,55457
ST02,2019,55508
ST03,2000,59484
ST03,2001,60855
ST03,2002,59806
ST03,2003,59830
ST03,2004,60072
ST03,2005,60665
ST03,2006,60282
ST03,2007,59656
ST03,2008,59257
ST03,2009,60364
ST03,2010,60038
ST03,2011,60365
ST03,2012,59666
ST03,2013,60171
ST03,2014,59833
ST03,2015,59775
ST03,2016,60045
ST03,2017,60600
ST03,2018,60822
ST03,2019,60120
ST04,2000,54451
ST04,2001,54245
ST04,2002,53971
ST04,2003,55223
ST04,2004,54373
ST04,2005,55231
ST04,2006,54600
ST04,2007,54211
ST04,2008,53034
ST04,2009,54680
ST04,2010,52361
ST04,2011,53808
ST04,2012,54277
ST04,2013,53913
ST04,2014,53167
ST04,2015,53706
ST04,2016,53768
ST04,2017,54308
ST04,2018,54259
ST04,2019,53338
ST05,2000,57608
ST05,2001,57883
ST05,2002,56974
ST05,2003,59528
ST05,2004,59262
ST05,2005,58432
ST05,2006,59172
ST05,2007,57937
ST05,2008,58784
ST05,2009,58161
ST05,2010,58165
ST05,2011,57843
ST05,2012,58092
ST05,2013,57972
ST05,2014,58626
ST05,2015,58975
ST05,2016,59733
ST05,2017,58029
ST05,2018,57896
ST05,2019,58589
ST06,2000,54828
ST06,2001,55506
ST06,2002,56046
ST06,2003,55454
ST06,2004,55539
ST06,2005,55946
ST06,2006,56176
ST06,2007,56075
ST06,2008,55971
ST06,2009,54925
ST06,2010,55055
ST06,2011,55234
ST06,2012,54440
ST06,2013,55127
ST06,2014,55405
ST06,2015,55160
ST06,2016,55765
ST06,2017,55353
ST06,2018,55189
ST06,2019,55233
ST07,2000,55442
ST07,2001,55842
ST07,2002,56193
ST07,2003,55680
ST07,2004,55019
ST07,2005,54852
ST07,2006,55790
ST07,2007,55539
ST07,2008,55070
ST07,2009,54818
ST07,2010,54416
ST07,2011,55246
ST07,2012,54315
ST07,2013,55397
ST07,2014,54580
ST07,2015,55923
ST07,2016,56487
ST07,2017,55674
ST07,2018,55994
ST07,2019,55245
ST08,2000,53553
ST08,2001,52375
ST08,2002,53336
ST08,2003,53035
ST08,2004,54001
ST08,2005,53446
ST08,2006,54257
ST08,2007,52585
ST08,2008,53421
ST08,2009,53160
ST08,2010,52827
ST08,2011,52604
ST08,2012,53967
ST08,2013,53460
ST08,2014,53190
ST08,2015,53429
ST08,2016,53413
ST08,2017,52954
ST08,2018,53753
ST08,2019,53919
ST09,2000,52425
ST09,2001,53674
ST09,2002,52881
ST09,2003,53714
ST09,2004,53667
ST09,2005,52937
ST09,2006,53677
ST09,2007,53754
ST09,2008,53017
ST09,2009,53588
ST09,2010,52292
ST09,2011,52985
ST09,2012,51367
ST09,2013,52905
ST09,2014,53758
ST09,2015,53088
ST09,2016,52939
ST09,2017,53372
ST09,2018,52625
ST09,2019,53215
ST10,2000,55627
ST10,2001,56055
ST10,2002,57144
ST10,2003,57904
ST10,2004,58170
ST10,2005,57386
ST10,2006,57371
ST10,2007,56960
ST10,2008,56886
ST10,2009,57191
ST10,2010,56383
ST10,2011,56075
ST10,2012,55864
ST10,2013,56965
ST10,2014,56689
ST10,2015,56638
ST10,2016,56946
ST10,2017,57029
ST10,2018,57742
ST10,2019,57526
ST11,2000,54965
ST11,2001,55937
ST11,2002,55799
ST11,2003,56257
ST11,2004,55804
ST11,2005,55897
ST11,2006,55225
ST11,2007,56334
ST11,2008,55756
ST11,2009,56531
ST11,2010,55942
ST11,2011,56952
ST11,2012,56186
ST11,2013,55432
ST11,2014,55491
ST11,2015,56869
ST11,2016,56329
ST11,2017,56470
ST11,2018,57322
ST11,2019,56289
ST12,2000,55548
ST12,2001,55668
ST12,2002,55748
ST12,2003,56171
ST12,2004,56446
ST12,2005,55269
ST12,2006,56663
ST12,2007,56234
ST12,2008,55941
ST12,2009,55090
ST12,2010,55712
ST12,2011,55815
ST12,2012,56063
ST12,2013,55498
