state,year,treated,adopt_year,event_time,teen_employment_rate,true_effect,post_adoption,state_fe,state_slope,common_trend,y0,teen_employment_rate_s1
1,2000,1,2006,-6,55.74947,0,0,-.28978452,-.021034351,0,55.74947,55.74947
1,2001,1,2006,-5,55.318081,0,0,-.28978452,-.021034351,.079999998,55.318081,55.428082
1,2002,1,2006,-4,55.485332,0,0,-.28978452,-.021034351,.16,55.485332,55.705334
1,2003,1,2006,-3,54.877937,0,0,-.28978452,-.021034351,.23999999,54.877937,55.207939
1,2004,1,2006,-2,54.036125,0,0,-.28978452,-.021034351,.31999999,54.036125,54.476124
1,2005,1,2006,-1,55.07576,0,0,-.28978452,-.021034351,.40000001,55.07576,55.625759
1,2006,1,2006,0,54.151554,-.25,1,-.28978452,-.021034351,.47999999,54.401554,54.811554
1,2007,1,2006,1,54.632133,-.5,1,-.28978452,-.021034351,.56,55.132133,55.402134
1,2008,1,2006,2,54.216042,-.75,1,-.28978452,-.021034351,.63999999,54.966042,55.096043
1,2009,1,2006,3,54.676785,-1,1,-.28978452,-.021034351,.72000003,55.676785,55.666786
1,2010,1,2006,4,54.282482,-1,1,-.28978452,-.021034351,.80000001,55.282482,55.382481
1,2011,1,2006,5,53.462128,-1,1,-.28978452,-.021034351,.88,54.462128,54.672127
1,2012,1,2006,6,54.395855,-1,1,-.28978452,-.021034351,.95999998,55.395855,55.715855
1,2013,1,2006,7,53.912338,-1,1,-.28978452,-.021034351,1.04,54.912338,55.342339
1,2014,1,2006,8,53.768539,-1,1,-.28978452,-.021034351,1.12,54.768539,55.30854
1,2015,1,2006,9,54.151363,-1,1,-.28978452,-.021034351,1.2,55.151363,55.801365
1,2016,1,2006,10,55.753429,-1,1,-.28978452,-.021034351,1.28,56.753429,57.513428
1,2017,1,2006,11,55.052193,-1,1,-.28978452,-.021034351,1.36,56.052193,56.922192
1,2018,1,2006,12,55.186268,-1,1,-.28978452,-.021034351,1.4400001,56.186268,57.166267
1,2019,1,2006,13,53.984745,-1,1,-.28978452,-.021034351,1.52,54.984745,56.074745
2,2000,1,2006,-6,54.592609,0,0,-.60264808,.022897733,0,54.592609,54.592609
2,2001,1,2006,-5,54.086643,0,0,-.60264808,.022897733,.079999998,54.086643,54.196644
2,2002,1,2006,-4,53.842888,0,0,-.60264808,.022897733,.16,53.842888,54.062889
2,2003,1,2006,-3,54.464832,0,0,-.60264808,.022897733,.23999999,54.464832,54.794834
2,2004,1,2006,-2,54.791946,0,0,-.60264808,.022897733,.31999999,54.791946,55.231945
2,2005,1,2006,-1,55.621052,0,0,-.60264808,.022897733,.40000001,55.621052,56.171051
2,2006,1,2006,0,55.972336,-.25,1,-.60264808,.022897733,.47999999,56.222336,56.632336
2,2007,1,2006,1,53.91679,-.5,1,-.60264808,.022897733,.56,54.41679,54.68679
2,2008,1,2006,2,54.046154,-.75,1,-.60264808,.022897733,.63999999,54.796154,54.926155
2,2009,1,2006,3,54.661736,-1,1,-.60264808,.022897733,.72000003,55.661736,55.651737
2,2010,1,2006,4,54.877747,-1,1,-.60264808,.022897733,.80000001,55.877747,55.977745
2,2011,1,2006,5,55.162735,-1,1,-.60264808,.022897733,.88,56.162735,56.372734
2,2012,1,2006,6,55.558525,-1,1,-.60264808,.022897733,.95999998,56.558525,56.878525
2,2013,1,2006,7,54.524181,-1,1,-.60264808,.022897733,1.04,55.524181,55.954182
2,2014,1,2006,8,54.813534,-1,1,-.60264808,.022897733,1.12,55.813534,56.353535
2,2015,1,2006,9,54.739861,-1,1,-.60264808,.022897733,1.2,55.739861,56.389862
2,2016,1,2006,10,56.040253,-1,1,-.60264808,.022897733,1.28,57.040253,57.800251
2,2017,1,2006,11,55.146252,-1,1,-.60264808,.022897733,1.36,56.146252,57.016251
2,2018,1,2006,12,55.457043,-1,1,-.60264808,.022897733,1.4400001,56.457043,57.437042
2,2019,1,2006,13,55.507854,-1,1,-.60264808,.022897733,1.52,56.507854,57.597855
3,2000,1,2006,-6,59.484261,0,0,4.9597435,-.010228258,0,59.484261,59.484261
3,2001,1,2006,-5,60.854519,0,0,4.9597435,-.010228258,.079999998,60.854519,60.96452
3,2002,1,2006,-4,59.806126,0,0,4.9597435,-.010228258,.16,59.806126,60.026127
3,2003,1,2006,-3,59.830444,0,0,4.9597435,-.010228258,.23999999,59.830444,60.160446
3,2004,1,2006,-2,60.071743,0,0,4.9597435,-.010228258,.31999999,60.071743,60.511742
3,2005,1,2006,-1,60.664955,0,0,4.9597435,-.010228258,.40000001,60.664955,61.214954
3,2006,1,2006,0,60.281864,-.25,1,4.9597435,-.010228258,.47999999,60.531864,60.941864
3,2007,1,2006,1,59.655643,-.5,1,4.9597435,-.010228258,.56,60.155643,60.425644
3,2008,1,2006,2,59.256966,-.75,1,4.9597435,-.010228258,.63999999,60.006966,60.136967
3,2009,1,2006,3,60.363739,-1,1,4.9597435,-.010228258,.72000003,61.363739,61.353741
3,2010,1,2006,4,60.038185,-1,1,4.9597435,-.010228258,.80000001,61.038185,61.138184
3,2011,1,2006,5,60.365196,-1,1,4.9597435,-.010228258,.88,61.365196,61.575195
3,2012,1,2006,6,59.665657,-1,1,4.9597435,-.010228258,.95999998,60.665657,60.985657
3,2013,1,2006,7,60.170795,-1,1,4.9597435,-.010228258,1.04,61.170795,61.600796
3,2014,1,2006,8,59.833496,-1,1,4.9597435,-.010228258,1.12,60.833496,61.373497
3,2015,1,2006,9,59.775085,-1,1,4.9597435,-.010228258,1.2,60.775085,61.425087
3,2016,1,2006,10,60.04459,-1,1,4.9597435,-.010228258,1.28,61.04459,61.804588
3,2017,1,2006,11,60.599686,-1,1,4.9597435,-.010228258,1.36,61.599686,62.469685
3,2018,1,2006,12,60.821728,-1,1,4.9597435,-.010228258,1.4400001,61.821728,62.801727
3,2019,1,2006,13,60.119545,-1,1,4.9597435,-.010228258,1.52,61.119545,62.209545
4,2000,1,2006,-6,54.451035,0,0,-.73566782,-.044220753,0,54.451035,54.451035
