state,treated,adopt_year,year,event_time,true_effect,teen_employment_rate,post_adoption
1,1,2006,2000,-6,0,55.74947,0
1,1,2006,2001,-5,0,55.428082,0
1,1,2006,2002,-4,0,55.705334,0
1,1,2006,2003,-3,0,55.207939,0
1,1,2006,2004,-2,0,54.476124,0
1,1,2006,2005,-1,0,55.625759,0
1,1,2006,2006,0,-.25,54.811554,1
1,1,2006,2007,1,-.5,55.402134,1
1,1,2006,2008,2,-.75,55.096043,1
1,1,2006,2009,3,-1,55.666786,1
1,1,2006,2010,4,-1,55.382481,1
1,1,2006,2011,5,-1,54.672127,1
1,1,2006,2012,6,-1,55.715855,1
1,1,2006,2013,7,-1,55.342339,1
1,1,2006,2014,8,-1,55.30854,1
1,1,2006,2015,9,-1,55.801365,1
1,1,2006,2016,10,-1,57.513428,1
1,1,2006,2017,11,-1,56.922192,1
1,1,2006,2018,12,-1,57.166267,1
1,1,2006,2019,13,-1,56.074745,1
2,1,2006,2000,-6,0,54.592609,0
2,1,2006,2001,-5,0,54.196644,0
2,1,2006,2002,-4,0,54.062889,0
2,1,2006,2003,-3,0,54.794834,0
2,1,2006,2004,-2,0,55.231945,0
2,1,2006,2005,-1,0,56.171051,0
2,1,2006,2006,0,-.25,56.632336,1
2,1,2006,2007,1,-.5,54.68679,1
2,1,2006,2008,2,-.75,54.926155,1
2,1,2006,2009,3,-1,55.651737,1
2,1,2006,2010,4,-1,55.977745,1
2,1,2006,2011,5,-1,56.372734,1
2,1,2006,2012,6,-1,56.878525,1
2,1,2006,2013,7,-1,55.954182,1
2,1,2006,2014,8,-1,56.353535,1
2,1,2006,2015,9,-1,56.389862,1
2,1,2006,2016,10,-1,57.800251,1
2,1,2006,2017,11,-1,57.016251,1
2,1,2006,2018,12,-1,57.437042,1
2,1,2006,2019,13,-1,57.597855,1
3,1,2006,2000,-6,0,59.484261,0
3,1,2006,2001,-5,0,60.96452,0
3,1,2006,2002,-4,0,60.026127,0
3,1,2006,2003,-3,0,60.160446,0
3,1,2006,2004,-2,0,60.511742,0
3,1,2006,2005,-1,0,61.214954,0
3,1,2006,2006,0,-.25,60.941864,1
3,1,2006,2007,1,-.5,60.425644,1
3,1,2006,2008,2,-.75,60.136967,1
3,1,2006,2009,3,-1,61.353741,1
3,1,2006,2010,4,-1,61.138184,1
3,1,2006,2011,5,-1,61.575195,1
3,1,2006,2012,6,-1,60.985657,1
3,1,2006,2013,7,-1,61.600796,1
3,1,2006,2014,8,-1,61.373497,1
3,1,2006,2015,9,-1,61.425087,1
3,1,2006,2016,10,-1,61.804588,1
3,1,2006,2017,11,-1,62.469685,1
3,1,2006,2018,12,-1,62.801727,1
3,1,2006,2019,13,-1,62.209545,1
4,1,2006,2000,-6,0,54.451035,0
4,1,2006,2001,-5,0,54.354588,0
4,1,2006,2002,-4,0,54.191017,0
4,1,2006,2003,-3,0,55.552738,0
4,1,2006,2004,-2,0,54.812935,0
4,1,2006,2005,-1,0,55.781425,0
4,1,2006,2006,0,-.25,55.259716,1
4,1,2006,2007,1,-.5,54.980511,1
4,1,2006,2008,2,-.75,53.913963,1
4,1,2006,2009,3,-1,55.670185,1
4,1,2006,2010,4,-1,53.46064,1
4,1,2006,2011,5,-1,55.017914,1
4,1,2006,2012,6,-1,55.596977,1
4,1,2006,2013,7,-1,55.342869,1
4,1,2006,2014,8,-1,54.706944,1
4,1,2006,2015,9,-1,55.356392,1
4,1,2006,2016,10,-1,55.52776,1
4,1,2006,2017,11,-1,56.178242,1
4,1,2006,2018,12,-1,56.239433,1
4,1,2006,2019,13,-1,55.42783,1
5,1,2007,2000,-7,0,57.608212,0
5,1,2007,2001,-6,0,57.992607,0
5,1,2007,2002,-5,0,57.193703,0
5,1,2007,2003,-4,0,59.857655,0
5,1,2007,2004,-3,0,59.701973,0
5,1,2007,2005,-2,0,58.981705,0
5,1,2007,2006,-1,0,59.83189,0
5,1,2007,2007,0,-.25,58.706757,1
5,1,2007,2008,1,-.5,59.663788,1
5,1,2007,2009,2,-.75,59.1511,1
5,1,2007,2010,3,-1,59.265217,1
5,1,2007,2011,4,-1,59.052753,1
5,1,2007,2012,5,-1,59.411591,1
5,1,2007,2013,6,-1,59.402233,1
5,1,2007,2014,7,-1,60.165825,1
5,1,2007,2015,8,-1,60.624504,1
5,1,2007,2016,9,-1,61.493073,1
5,1,2007,2017,10,-1,59.899467,1
5,1,2007,2018,11,-1,59.876003,1
5,1,2007,2019,12,-1,60.67934,1
6,1,2007,2000,-7,0,54.82843,0
