state_code,year,population_weight
ST01,2000,.87
ST01,2001,.87
ST01,2002,.87
ST01,2003,.87
ST01,2004,.87
ST01,2005,.87
ST01,2006,.87
ST01,2007,.87
ST01,2008,.87
ST01,2009,.87
ST01X,2010,.87
ST01X,2011,.87
ST01X,2012,.87
ST01X,2013,.87
ST01X,2014,.87
ST01X,2015,.87
ST01X,2016,.87
ST01X,2017,.87
ST01X,2018,.87
ST01X,2019,.87
ST02,2000,.88999999
ST02,2001,.88999999
ST02,2002,.88999999
ST02,2003,.88999999
ST02,2004,.88999999
ST02,2005,.88999999
ST02,2006,.88999999
ST02,2007,.88999999
ST02,2008,.88999999
ST02,2009,.88999999
ST02X,2010,.88999999
ST02X,2011,.88999999
ST02X,2012,.88999999
ST02X,2013,.88999999
ST02X,2014,.88999999
ST02X,2015,.88999999
ST02X,2016,.88999999
ST02X,2017,.88999999
ST02X,2018,.88999999
ST02X,2019,.88999999
ST03,2000,.91000003
ST03,2001,.91000003
ST03,2002,.91000003
ST03,2003,.91000003
ST03,2004,.91000003
ST03,2005,.91000003
ST03,2006,.91000003
ST03,2007,.91000003
ST03,2008,.91000003
ST03,2009,.91000003
ST03X,2010,.91000003
ST03X,2011,.91000003
ST03X,2012,.91000003
ST03X,2013,.91000003
ST03X,2014,.91000003
ST03X,2015,.91000003
ST03X,2016,.91000003
ST03X,2017,.91000003
ST03X,2018,.91000003
ST03X,2019,.91000003
ST04,2000,.93000001
ST04,2001,.93000001
ST04,2002,.93000001
ST04,2003,.93000001
ST04,2004,.93000001
ST04,2005,.93000001
ST04,2006,.93000001
ST04,2007,.93000001
ST04,2008,.93000001
ST04,2009,.93000001
ST04X,2010,.93000001
ST04X,2011,.93000001
ST04X,2012,.93000001
ST04X,2013,.93000001
ST04X,2014,.93000001
ST04X,2015,.93000001
ST04X,2016,.93000001
ST04X,2017,.93000001
ST04X,2018,.93000001
ST04X,2019,.93000001
ST05,2000,.94999999
ST05,2001,.94999999
ST05,2002,.94999999
ST05,2003,.94999999
ST05,2004,.94999999
ST05,2005,.94999999
ST05,2006,.94999999
ST05,2007,.94999999
ST05,2008,.94999999
ST05,2009,.94999999
ST05X,2010,.94999999
ST05X,2011,.94999999
ST05X,2012,.94999999
ST05X,2013,.94999999
ST05X,2014,.94999999
ST05X,2015,.94999999
ST05X,2016,.94999999
ST05X,2017,.94999999
ST05X,2018,.94999999
ST05X,2019,.94999999
ST06,2000,.97000003
ST06,2001,.97000003
ST06,2002,.97000003
ST06,2003,.97000003
ST06,2004,.97000003
ST06,2005,.97000003
ST06,2006,.97000003
ST06,2007,.97000003
ST06,2008,.97000003
ST06,2009,.97000003
ST06X,2010,.97000003
ST06X,2011,.97000003
ST06X,2012,.97000003
ST06X,2013,.97000003
ST06X,2014,.97000003
ST06X,2015,.97000003
ST06X,2016,.97000003
ST06X,2017,.97000003
ST06X,2018,.97000003
ST06X,2019,.97000003
ST07,2000,.85000002
ST07,2001,.85000002
ST07,2002,.85000002
ST07,2003,.85000002
ST07,2004,.85000002
ST07,2005,.85000002
ST07,2006,.85000002
ST07,2007,.85000002
ST07,2008,.85000002
ST07,2009,.85000002
ST07X,2010,.85000002
