applicant_id,offered_training
JT000001,1
JT000002,0
JT000003,1
JT000004,0
JT000005,0
JT000006,0
JT000007,1
JT000008,0
JT000009,1
JT000010,1
JT000011,0
JT000012,1
JT000013,0
JT000014,0
JT000015,1
JT000016,0
JT000017,0
JT000018,1
JT000019,0
JT000020,1
JT000021,0
JT000022,1
JT000023,1
JT000024,1
JT000025,1
JT000026,1
JT000027,0
JT000028,1
JT000029,0
JT000030,1
JT000031,1
JT000032,1
JT000033,0
JT000034,1
JT000035,0
JT000036,0
JT000037,1
JT000038,0
JT000039,0
JT000040,0
JT000041,0
JT000042,0
JT000043,1
JT000044,0
JT000045,0
JT000046,1
JT000047,1
JT000048,1
JT000049,1
JT000050,1
JT000051,1
JT000052,1
JT000053,1
JT000054,1
JT000055,0
JT000056,1
JT000057,0
JT000058,0
JT000059,0
JT000060,0
JT000061,1
JT000062,1
JT000063,0
JT000064,1
JT000065,0
JT000066,1
JT000067,1
JT000068,1
JT000069,1
JT000070,0
JT000071,0
JT000072,0
JT000073,0
JT000074,0
JT000075,1
JT000076,1
JT000077,1
JT000078,0
JT000079,0
JT000080,0
JT000081,1
JT000082,0
JT000083,1
JT000084,1
JT000085,1
JT000086,1
JT000087,0
JT000088,1
JT000089,0
JT000090,1
JT000091,0
JT000092,0
JT000093,0
JT000094,0
JT000095,1
JT000096,0
JT000097,0
JT000098,0
JT000099,0
JT000100,1
JT000101,0
JT000102,0
JT000103,1
JT000104,1
JT000105,1
JT000106,0
JT000107,1
JT000108,1
JT000109,0
JT000110,1
JT000111,1
JT000112,1
JT000113,0
JT000114,0
JT000115,1
JT000116,1
JT000117,1
JT000118,0
JT000119,1
JT000120,0
JT000121,0
JT000122,0
JT000123,0
JT000124,0
JT000125,1
JT000126,1
JT000127,0
JT000128,0
JT000129,1
JT000130,1
JT000131,1
JT000132,1
JT000133,1
JT000134,1
JT000135,0
JT000136,1
JT000137,1
JT000138,1
JT000139,0
JT000140,0
JT000141,0
JT000142,1
JT000143,1
JT000144,0
JT000145,0
JT000146,1
JT000147,0
JT000148,1
JT000149,0
JT000150,1
JT000151,1
JT000152,1
JT000153,0
JT000154,1
JT000155,1
JT000156,0
JT000157,1
JT000158,0
JT000159,1
JT000160,0
JT000161,0
JT000162,0
JT000163,1
JT000164,0
JT000165,1
JT000166,0
JT000167,0
JT000168,0
JT000169,0
JT000170,0
JT000171,0
JT000172,1
JT000173,1
JT000174,0
JT000175,0
JT000176,0
JT000177,1
JT000178,0
JT000179,0
JT000180,1
JT000181,1
JT000182,0
JT000183,1
JT000184,0
JT000185,0
JT000186,1
JT000187,0
JT000188,0
JT000189,0
JT000190,1
JT000191,1
JT000192,0
JT000193,0
JT000194,1
JT000195,0
JT000196,0
JT000197,0
JT000198,1
JT000199,1
JT000200,1
JT000201,0
JT000202,1
JT000203,0
JT000204,0
JT000205,1
JT000206,1
JT000207,1
JT000208,1
JT000209,1
JT000210,1
JT000211,0
JT000212,0
JT000213,0
JT000214,0
JT000215,1
JT000216,0
JT000217,0
JT000218,0
JT000219,1
JT000220,1
JT000221,1
JT000222,0
JT000223,1
JT000224,0
JT000225,1
JT000226,1
JT000227,1
JT000228,0
JT000229,0
JT000230,1
JT000231,1
JT000232,1
JT000233,1
JT000234,1
JT000235,0
JT000236,1
JT000237,1
JT000238,0
JT000239,1
JT000240,0
JT000241,1
JT000242,1
JT000243,1
JT000244,0
JT000245,1
JT000246,0
JT000247,1
JT000248,1
JT000249,1
JT000250,0
JT000251,1
JT000252,0
JT000253,1
JT000254,1
JT000255,1
JT000256,1
JT000257,1
JT000258,0
JT000259,0
JT000260,0
JT000261,0
JT000262,0
JT000263,0
JT000264,1
JT000265,0
JT000266,1
JT000267,1
JT000268,0
JT000269,0
JT000270,0
JT000271,1
JT000272,1
JT000273,1
JT000274,1
JT000275,0
JT000276,0
JT000277,0
JT000278,1
JT000279,0
JT000280,0
JT000281,1
JT000282,1
JT000283,0
JT000284,1
JT000285,1
JT000286,1
JT000287,1
JT000288,0
JT000289,0
JT000290,1
JT000291,1
JT000292,0
JT000293,0
JT000294,0
JT000295,1
JT000296,1
JT000297,0
JT000298,0
JT000299,1
JT000300,0
JT000301,1
JT000302,1
JT000303,0
JT000304,1
JT000305,1
JT000306,1
