applicant_id,site,female,age,education_years,employed_baseline,earnings_baseline
JT000001,A,1,28,12,0,0
JT000002,A,0,54,17,0,0
JT000003,A,0,49,14,1,2524
JT000004,A,1,39,12,0,0
JT000005,A,1,37,15,1,2499
JT000006,A,0,43,12,1,1988
JT000007,A,0,42,15,1,2640
JT000008,A,0,29,17,1,2418
JT000009,A,0,31,13,0,0
JT000010,A,1,28,9,0,0
JT000011,A,1,44,17,0,0
JT000012,A,0,22,16,0,0
JT000013,A,1,55,16,1,2984
JT000014,A,1,19,17,1,2068
JT000015,A,1,19,15,1,2335
JT000016,A,1,21,12,0,0
JT000017,A,0,47,18,0,0
JT000018,A,0,23,18,0,0
JT000019,A,1,51,16,0,0
JT000020,A,1,34,12,1,1458
JT000021,A,0,52,18,1,2580
JT000022,A,0,19,9,0,0
JT000023,A,0,48,10,0,0
JT000024,A,1,29,15,0,0
JT000025,A,0,42,17,1,2865
JT000026,A,0,30,13,0,0
JT000027,A,1,50,11,1,2034
JT000028,A,0,21,12,0,0
JT000029,A,1,29,14,0,0
JT000030,A,0,53,16,0,0
JT000031,A,0,46,11,0,0
JT000032,A,0,32,17,1,2695
JT000033,A,1,31,10,0,0
JT000034,A,0,46,9,0,0
JT000035,A,0,54,15,0,0
JT000036,A,1,26,14,0,0
JT000037,A,0,49,15,0,0
JT000038,A,1,26,18,0,0
JT000039,A,1,49,13,1,2549
JT000040,A,0,39,9,0,0
JT000041,A,0,46,18,1,2986
JT000042,A,1,52,17,1,2833
JT000043,A,0,51,11,0,0
JT000044,A,0,25,18,0,0
JT000045,A,1,35,9,1,1629
JT000046,A,1,50,18,0,0
JT000047,A,1,31,18,1,2049
JT000048,A,0,54,14,1,1829
JT000049,A,0,22,17,1,2224
JT000050,A,0,32,15,0,0
JT000051,A,1,34,14,0,0
JT000052,A,1,22,9,0,0
JT000053,A,1,30,10,1,1900
JT000054,A,0,25,14,1,1359
JT000055,A,1,54,15,0,0
JT000056,A,1,51,15,1,2677
JT000057,A,0,20,10,1,1672
JT000058,A,0,41,15,0,0
JT000059,A,0,55,11,1,2406
JT000060,A,0,34,11,0,0
JT000061,A,0,25,10,0,0
JT000062,A,0,28,14,0,0
JT000063,A,1,42,11,0,0
JT000064,A,0,29,12,0,0
JT000065,A,0,21,9,0,0
JT000066,A,0,51,14,0,0
JT000067,A,1,20,9,0,0
JT000068,A,1,22,18,0,0
JT000069,A,0,24,13,1,1507
JT000070,A,0,26,13,1,2162
JT000071,A,0,48,10,0,0
JT000072,A,0,27,10,0,0
JT000073,A,0,38,16,0,0
JT000074,A,0,52,14,0,0
JT000075,A,1,40,10,0,0
JT000076,A,0,25,18,1,2347
JT000077,A,0,34,17,0,0
JT000078,A,0,44,13,1,2180
JT000079,A,0,19,10,1,1038
JT000080,A,0,34,9,0,0
JT000081,A,0,41,14,0,0
JT000082,A,1,50,11,0,0
JT000083,A,0,40,17,1,2389
JT000084,A,1,39,18,0,0
JT000085,A,1,41,15,1,2658
JT000086,A,0,35,16,1,1870
JT000087,A,1,21,13,0,0
JT000088,A,0,29,15,0,0
JT000089,A,0,40,15,1,2480
JT000090,A,1,55,17,1,3041
JT000091,A,1,49,9,1,1336
JT000092,A,1,52,14,1,1983
JT000093,A,0,48,10,0,0
JT000094,A,0,44,13,1,2483
JT000095,A,0,19,12,1,1634
JT000096,A,0,45,10,0,0
JT000097,A,1,50,13,0,0
JT000098,A,1,38,11,0,0
JT000099,A,1,54,11,1,1451
JT000100,A,0,26,16,0,0
JT000101,A,0,32,15,0,0
JT000102,A,1,23,12,0,0
JT000103,A,1,44,14,1,2188
JT000104,A,0,27,18,1,2578
JT000105,A,0,51,11,0,0
JT000106,A,1,30,15,0,0
JT000107,A,0,30,18,0,0
JT000108,A,1,28,13,1,2135
JT000109,A,1,40,16,0,0
JT000110,A,1,53,15,1,2767
JT000111,A,1,53,17,0,0
JT000112,A,1,46,9,0,0
JT000113,A,0,28,9,0,0
JT000114,A,1,45,10,0,0
JT000115,A,0,32,18,1,2783
JT000116,A,0,43,15,0,0
JT000117,A,0,53,17,1,2775
JT000118,A,0,28,14,1,1512
JT000119,A,0,20,9,1,1523
JT000120,A,1,34,14,0,0
JT000121,A,0,36,13,0,0
JT000122,A,1,20,11,1,1123
JT000123,A,1,28,9,1,803
JT000124,A,0,43,13,0,0
JT000125,A,1,38,17,0,0
JT000126,A,0,49,18,0,0
JT000127,A,1,29,9,1,1787
JT000128,A,0,22,9,0,0
JT000129,A,1,42,9,0,0
JT000130,A,0,50,11,1,2368
JT000131,A,0,40,12,0,0
JT000132,A,1,35,12,0,0
JT000133,A,1,36,9,0,0
JT000134,A,0,21,16,0,0
JT000135,A,1,37,15,0,0
JT000136,A,0,38,9,1,1170
JT000137,A,0,33,10,1,1590
JT000138,A,0,26,15,1,1788
JT000139,A,0,46,15,0,0
JT000140,A,1,20,12,1,1101
JT000141,A,0,49,12,0,0
JT000142,A,0,25,13,0,0
JT000143,A,1,40,17,1,2750
JT000144,A,0,33,11,0,0
JT000145,A,1,34,17,1,1888
JT000146,A,1,19,10,1,1453
JT000147,A,1,31,13,0,0
JT000148,A,1,46,10,0,0
JT000149,A,1,47,12,0,0
JT000150,A,1,36,17,1,2087
JT000151,A,0,26,9,1,1498
JT000152,A,0,46,14,1,1931
JT000153,A,1,25,10,1,1840
JT000154,A,0,26,9,0,0
JT000155,A,1,38,10,0,0
JT000156,A,1,23,14,0,0
JT000157,A,0,27,9,0,0
JT000158,A,1,25,16,0,0
JT000159,A,0,42,18,0,0
JT000160,A,0,53,9,1,1893
JT000161,A,0,24,18,0,0
JT000162,A,1,26,18,1,2412
JT000163,A,1,32,18,0,0
JT000164,A,1,30,16,1,1907
JT000165,A,1,21,12,0,0
JT000166,A,1,28,13,0,0
