applicant_id,employed_6m,earnings_6m
JT000001,1,2448
JT000002,1,3109
JT000003,0,0
JT000004,1,1873
JT000005,1,2048
JT000006,1,2415
JT000007,1,2574
JT000008,1,2791
JT000009,1,2841
JT000010,1,1433
JT000011,0,0
JT000012,0,0
JT000013,1,3288
JT000014,0,0
JT000015,1,2360
JT000016,1,1917
JT000017,1,2808
JT000018,0,0
JT000019,1,3171
JT000020,1,2553
JT000021,0,0
JT000022,1,1089
JT000023,1,2092
JT000024,1,2871
JT000025,1,3075
JT000026,0,0
JT000027,1,2190
JT000028,1,1900
JT000029,1,2742
JT000030,1,3179
JT000031,1,2067
JT000032,1,2481
JT000033,1,2035
JT000034,1,2381
JT000035,1,3298
JT000036,0,0
JT000037,0,0
JT000038,1,2760
JT000039,0,0
JT000040,1,1770
JT000041,0,0
JT000042,1,3387
JT000043,1,2832
JT000044,0,0
JT000045,0,0
JT000046,1,3627
JT000047,1,2508
JT000048,0,0
JT000049,1,3357
JT000050,1,2204
JT000051,1,2601
JT000052,1,2158
JT000053,1,2559
JT000054,1,2878
JT000055,1,2505
JT000056,1,3174
JT000057,1,1056
JT000058,1,3025
JT000059,1,2695
JT000060,0,0
JT000061,0,0
JT000062,1,2989
JT000063,1,2792
JT000064,1,2102
JT000065,1,1496
JT000066,0,0
JT000067,0,0
JT000068,1,3276
JT000069,1,2071
JT000070,0,0
JT000071,1,2803
JT000072,1,2232
JT000073,1,2695
JT000074,0,0
JT000075,0,0
JT000076,1,2890
JT000077,1,2686
JT000078,0,0
JT000079,1,2069
JT000080,0,0
JT000081,0,0
JT000082,1,2154
JT000083,0,0
JT000084,1,2670
JT000085,0,0
JT000086,1,3355
JT000087,0,0
JT000088,1,2122
JT000089,1,3157
JT000090,1,3619
JT000091,1,1514
JT000092,1,3051
JT000093,1,2715
JT000094,0,0
JT000095,1,2192
JT000096,0,0
JT000097,1,2832
JT000098,1,1558
JT000099,1,2382
JT000100,1,2582
JT000101,0,0
JT000102,0,0
JT000103,0,0
JT000104,1,3293
JT000105,1,2547
JT000106,0,0
JT000107,0,0
JT000108,1,2689
JT000109,1,3163
JT000110,0,0
JT000111,0,0
JT000112,1,1739
JT000113,1,1112
JT000114,1,1977
JT000115,1,3607
JT000116,1,2402
JT000117,1,2875
JT000118,0,0
JT000119,1,2133
JT000120,1,2121
JT000121,0,0
JT000122,1,1364
JT000123,1,2224
JT000124,0,0
JT000125,1,2942
JT000126,0,0
JT000127,1,2042
JT000128,0,0
JT000129,0,0
JT000130,1,2167
JT000131,0,0
JT000132,1,2934
JT000133,1,1922
JT000134,1,2281
JT000135,1,2267
JT000136,1,1568
JT000137,1,2108
JT000138,1,3174
JT000139,1,2592
JT000140,1,1678
JT000141,1,3087
JT000142,1,2635
JT000143,1,2814
JT000144,1,1715
JT000145,1,3095
JT000146,0,0
JT000147,1,2096
JT000148,1,1881
JT000149,1,2800
JT000150,1,2814
JT000151,1,1464
JT000152,1,3091
JT000153,1,1752
JT000154,1,2188
JT000155,1,2056
JT000156,1,2787
JT000157,1,1245
JT000158,1,2020
JT000159,0,0
JT000160,0,0
JT000161,1,2875
JT000162,0,0
JT000163,1,3174
JT000164,1,2209
JT000165,1,2233
JT000166,0,0
JT000167,1,2667
JT000168,0,0
JT000169,0,0
JT000170,1,3244
JT000171,0,0
JT000172,0,0
JT000173,1,2083
JT000174,0,0
JT000175,0,0
JT000176,1,3449
JT000177,1,2872
JT000178,1,3577
JT000179,0,0
JT000180,1,2347
JT000181,0,0
JT000182,0,0
JT000183,1,2520
JT000184,1,2459
JT000185,1,2993
JT000186,1,2124
JT000187,1,2907
JT000188,1,2157
JT000189,0,0
JT000190,1,1695
JT000191,0,0
JT000192,1,2300
JT000193,1,2321
JT000194,1,2829
JT000195,1,2717
JT000196,1,1779
JT000197,1,2133
JT000198,1,1419
JT000199,1,2346
JT000200,1,2414
JT000201,1,1961
JT000202,1,2856
JT000203,1,1958
