applicant_id,site,female,age,education_years,employed_baseline,earnings_baseline,offered_training,employed_6m,earnings_6m,session_date,session_number,session_type,training_center,hours_attended,program_participant
JB000001,A,0,47,16,0,0,1,1,2869,2026-03-23,1,Orientation,North Center,4,1
JB000001,A,0,47,16,0,0,1,1,2869,2026-04-21,2,Skills workshop,North Center,6,1
JB000001,A,0,47,16,0,0,1,1,2869,2026-05-24,3,Job placement,North Center,6,1
JB000002,A,1,39,14,1,1849,1,1,2379,2026-03-12,1,Orientation,North Center,4,1
JB000003,A,1,24,9,1,952,0,1,1109,,,,,,0
JB000004,A,1,48,12,1,2245,0,1,2117,,,,,,0
JB000005,A,0,46,9,0,0,1,0,0,2026-03-07,1,Orientation,North Center,4,1
JB000006,A,0,42,12,1,1852,0,0,0,,,,,,0
JB000007,A,1,48,15,1,2696,1,0,0,2026-03-22,1,Orientation,North Center,4,1
JB000008,A,1,46,15,0,0,1,1,3336,2026-03-14,1,Orientation,North Center,4,1
JB000008,A,1,46,15,0,0,1,1,3336,2026-04-23,2,Skills workshop,North Center,6,1
JB000008,A,1,46,15,0,0,1,1,3336,2026-05-16,3,Job placement,North Center,6,1
JB000009,A,1,36,17,1,2578,1,1,2546,2026-03-17,1,Orientation,North Center,4,1
JB000009,A,1,36,17,1,2578,1,1,2546,2026-04-19,2,Skills workshop,North Center,6,1
JB000010,A,1,23,10,0,0,1,0,0,2026-03-19,1,Orientation,North Center,4,1
JB000010,A,1,23,10,0,0,1,0,0,2026-04-16,2,Skills workshop,North Center,6,1
JB000011,A,1,28,9,1,873,1,1,1509,,,,,,0
JB000012,A,1,36,17,1,2092,1,1,3212,2026-03-03,1,Orientation,North Center,4,1
JB000013,A,0,23,17,1,1919,0,1,2740,,,,,,0
JB000014,A,1,51,14,0,0,0,1,2587,,,,,,0
JB000015,A,1,50,17,1,2524,0,1,3165,,,,,,0
JB000016,A,1,23,17,1,2543,1,1,2362,2026-03-05,1,Orientation,North Center,4,1
JB000017,A,1,19,17,0,0,0,0,0,,,,,,0
JB000018,A,1,20,17,1,2400,1,1,3040,2026-03-14,1,Orientation,North Center,4,1
JB000019,A,0,31,13,0,0,0,1,2675,,,,,,0
JB000020,A,0,44,15,1,2550,0,0,0,,,,,,0
JB000021,A,1,46,16,0,0,0,1,2862,,,,,,0
JB000022,A,0,36,17,0,0,0,0,0,,,,,,0
JB000023,A,1,32,9,1,1377,1,0,0,2026-03-19,1,Orientation,North Center,4,1
JB000024,A,0,24,10,0,0,1,1,1971,2026-03-04,1,Orientation,North Center,4,1
JB000025,A,0,24,11,0,0,0,1,2326,,,,,,0
JB000026,A,0,51,15,0,0,1,1,2939,2026-03-09,1,Orientation,North Center,4,1
JB000027,A,0,29,11,1,1490,0,1,1795,,,,,,0
JB000028,A,1,26,15,0,0,1,0,0,2026-03-23,1,Orientation,North Center,4,1
JB000029,A,0,19,14,1,1370,0,0,0,,,,,,0
JB000030,A,1,45,15,0,0,1,1,3458,2026-03-12,1,Orientation,North Center,4,1
JB000031,A,1,20,18,0,0,1,0,0,2026-03-11,1,Orientation,North Center,4,1
JB000032,A,0,42,12,0,0,0,1,2628,,,,,,0
JB000033,A,0,53,15,1,1915,0,0,0,,,,,,0
JB000034,A,0,31,11,1,1890,0,0,0,,,,,,0
JB000035,A,0,22,15,0,0,0,1,2509,,,,,,0
JB000036,A,0,50,15,0,0,0,1,3499,,,,,,0
JB000037,A,0,40,13,0,0,1,1,2672,2026-03-05,1,Orientation,North Center,4,1
JB000037,A,0,40,13,0,0,1,1,2672,2026-04-22,2,Skills workshop,North Center,6,1
JB000038,A,1,39,13,1,2286,1,1,2124,2026-03-06,1,Orientation,North Center,4,1
JB000039,A,0,45,16,0,0,0,1,2720,,,,,,0
JB000040,A,1,48,9,1,1591,0,0,0,,,,,,0
JB000041,A,1,22,17,1,2572,0,1,2731,,,,,,0
JB000042,A,0,41,13,0,0,0,0,0,,,,,,0
JB000043,A,0,23,15,1,1604,1,0,0,2026-03-16,1,Orientation,North Center,4,1
JB000043,A,0,23,15,1,1604,1,0,0,2026-04-04,2,Skills workshop,North Center,6,1
JB000044,A,0,20,10,0,0,1,1,1790,2026-03-11,1,Orientation,North Center,4,1
JB000045,A,1,49,9,1,1512,0,1,1539,,,,,,0
JB000046,A,0,43,12,1,1755,1,1,2305,,,,,,0
JB000047,A,0,53,13,0,0,1,0,0,2026-03-19,1,Orientation,North Center,4,1
JB000048,A,1,22,12,0,0,0,1,2272,,,,,,0
JB000049,A,0,30,15,0,0,0,1,2650,,,,,,0
JB000050,A,1,22,10,1,878,0,1,1546,,,,,,0
JB000051,A,0,44,11,0,0,0,1,2087,,,,,,0
JB000052,A,1,53,16,1,2954,1,1,3629,2026-03-15,1,Orientation,North Center,4,1
JB000053,A,1,20,17,0,0,1,0,0,2026-03-19,1,Orientation,North Center,4,1
JB000054,A,0,46,14,0,0,1,0,0,2026-03-19,1,Orientation,North Center,4,1
JB000054,A,0,46,14,0,0,1,0,0,2026-04-19,2,Skills workshop,North Center,6,1
JB000055,A,1,32,12,0,0,1,1,2217,2026-03-05,1,Orientation,North Center,4,1
JB000056,A,0,55,18,0,0,0,1,2997,,,,,,0
JB000057,A,0,29,11,1,1964,0,1,2487,,,,,,0
JB000058,A,1,52,17,0,0,0,1,2830,,,,,,0
JB000059,A,0,52,14,1,2322,1,1,3070,,,,,,0
JB000060,A,1,34,12,1,1328,1,1,2197,2026-03-22,1,Orientation,North Center,4,1
JB000061,A,0,39,11,0,0,1,1,2147,2026-03-13,1,Orientation,North Center,4,1
JB000061,A,0,39,11,0,0,1,1,2147,2026-04-18,2,Skills workshop,North Center,6,1
JB000062,A,0,39,15,0,0,1,1,3046,2026-03-05,1,Orientation,North Center,4,1
JB000063,A,1,48,18,1,2708,0,1,3665,,,,,,0
JB000064,A,0,31,9,1,1598,0,1,2177,,,,,,0
JB000065,A,1,21,11,1,1848,0,1,2343,,,,,,0
JB000066,A,0,24,12,1,1742,0,1,1674,,,,,,0
JB000067,A,1,47,11,0,0,1,1,2724,2026-03-21,1,Orientation,North Center,4,1
JB000068,A,0,20,17,0,0,0,1,3017,,,,,,0
JB000069,A,1,19,11,0,0,0,0,0,,,,,,0
JB000070,A,1,50,11,1,1963,1,1,2449,2026-03-07,1,Orientation,North Center,4,1
JB000071,A,0,38,9,0,0,1,0,0,2026-03-08,1,Orientation,North Center,4,1
JB000072,A,1,46,14,0,0,0,1,2434,,,,,,0
JB000073,A,0,49,9,0,0,1,1,2408,2026-03-23,1,Orientation,North Center,4,1
JB000074,A,0,49,14,0,0,1,1,2747,2026-03-15,1,Orientation,North Center,4,1
JB000074,A,0,49,14,0,0,1,1,2747,2026-04-05,2,Skills workshop,North Center,6,1
JB000074,A,0,49,14,0,0,1,1,2747,2026-05-13,3,Job placement,North Center,6,1
JB000075,A,0,33,9,1,1383,0,1,1584,,,,,,0
JB000076,A,0,36,14,1,2317,1,1,2443,2026-03-16,1,Orientation,North Center,4,1
JB000077,A,1,54,16,0,0,0,0,0,,,,,,0
JB000078,A,0,30,11,0,0,1,0,0,2026-03-23,1,Orientation,North Center,4,1
JB000079,A,0,46,14,1,1846,1,1,2441,2026-03-15,1,Orientation,North Center,4,1
JB000080,A,0,51,18,0,0,1,0,0,2026-03-10,1,Orientation,North Center,4,1
JB000081,A,1,20,11,0,0,1,1,2336,2026-03-13,1,Orientation,North Center,4,1
JB000082,A,0,21,13,1,1685,1,0,0,2026-03-05,1,Orientation,North Center,4,1
JB000083,A,0,31,18,1,2718,1,1,2666,2026-03-18,1,Orientation,North Center,4,1
JB000084,A,0,51,12,0,0,0,1,2841,,,,,,0
JB000085,A,1,36,15,1,2131,0,1,3025,,,,,,0
JB000086,A,0,21,9,0,0,0,0,0,,,,,,0
JB000087,A,0,21,17,0,0,0,1,3129,,,,,,0
JB000088,A,1,33,9,1,1349,1,1,1671,2026-03-14,1,Orientation,North Center,4,1
JB000088,A,1,33,9,1,1349,1,1,1671,2026-04-23,2,Skills workshop,North Center,6,1
JB000089,A,0,31,16,1,2433,0,0,0,,,,,,0
JB000090,A,0,47,9,1,1925,0,1,2285,,,,,,0
JB000091,A,0,21,13,0,0,1,0,0,2026-03-22,1,Orientation,North Center,4,1
JB000091,A,0,21,13,0,0,1,0,0,2026-04-20,2,Skills workshop,North Center,6,1
JB000092,A,1,42,15,1,2368,1,1,3168,2026-03-16,1,Orientation,North Center,4,1
JB000093,A,0,35,9,1,1167,1,1,1602,2026-03-08,1,Orientation,North Center,4,1
JB000094,A,0,29,18,0,0,0,0,0,,,,,,0
JB000095,A,0,36,11,1,1648,1,0,0,2026-03-17,1,Orientation,North Center,4,1
JB000096,A,1,53,11,1,2228,1,1,2624,2026-03-04,1,Orientation,North Center,4,1
JB000097,A,0,46,16,1,2703,1,1,3700,2026-03-24,1,Orientation,North Center,4,1
JB000097,A,0,46,16,1,2703,1,1,3700,2026-04-08,2,Skills workshop,North Center,6,1
JB000098,A,1,22,18,0,0,0,1,2278,,,,,,0
JB000099,A,0,30,9,1,1222,1,0,0,2026-03-20,1,Orientation,North Center,4,1
JB000099,A,0,30,9,1,1222,1,0,0,2026-04-19,2,Skills workshop,North Center,6,1
JB000100,A,1,25,14,1,1550,0,1,1771,,,,,,0
JB000101,A,1,30,14,0,0,1,0,0,2026-03-10,1,Orientation,North Center,4,1
JB000102,A,0,20,16,0,0,0,0,0,,,,,,0
JB000103,A,0,42,15,0,0,0,1,2854,,,,,,0
JB000104,A,0,25,10,0,0,0,0,0,,,,,,0
JB000105,A,0,51,16,1,2721,1,1,2660,2026-03-24,1,Orientation,North Center,4,1
JB000106,A,1,38,14,0,0,1,0,0,2026-03-24,1,Orientation,North Center,4,1
JB000107,A,0,30,11,0,0,1,1,1940,2026-03-21,1,Orientation,North Center,4,1
JB000107,A,0,30,11,0,0,1,1,1940,2026-04-07,2,Skills workshop,North Center,6,1
JB000107,A,0,30,11,0,0,1,1,1940,2026-05-23,3,Job placement,North Center,6,1
JB000108,A,0,24,9,0,0,1,1,1240,2026-03-09,1,Orientation,North Center,4,1
JB000109,A,0,37,18,1,2523,0,1,3330,,,,,,0
JB000110,A,1,22,18,1,2237,0,0,0,,,,,,0
JB000111,A,0,50,16,1,2747,0,0,0,,,,,,0
JB000112,A,0,48,10,0,0,1,1,2389,2026-03-07,1,Orientation,North Center,4,1
JB000113,A,0,53,16,1,2401,0,1,2575,,,,,,0
JB000114,A,0,49,11,1,1622,1,1,2200,,,,,,0
JB000115,A,0,28,13,1,1587,0,0,0,,,,,,0
JB000116,A,0,40,16,0,0,0,1,2615,,,,,,0
JB000117,A,1,54,16,1,2992,0,1,2778,,,,,,0
JB000118,A,1,40,17,1,2059,0,1,2969,,,,,,0
JB000119,A,0,27,16,1,2166,1,0,0,2026-03-24,1,Orientation,North Center,4,1
JB000120,A,0,22,12,0,0,1,1,2386,,,,,,0
JB000121,A,0,21,11,0,0,1,1,2309,2026-03-10,1,Orientation,North Center,4,1
JB000121,A,0,21,11,0,0,1,1,2309,2026-04-17,2,Skills workshop,North Center,6,1
JB000122,A,0,38,17,1,2818,1,1,2551,2026-03-19,1,Orientation,North Center,4,1
JB000122,A,0,38,17,1,2818,1,1,2551,2026-04-03,2,Skills workshop,North Center,6,1
JB000123,A,1,37,11,1,1555,0,0,0,,,,,,0
JB000124,A,0,33,14,0,0,0,1,2454,,,,,,0
JB000125,A,0,31,11,1,1436,0,1,1913,,,,,,0
JB000126,A,0,33,9,1,1238,0,1,2331,,,,,,0
JB000127,A,1,19,14,0,0,1,1,2104,2026-03-16,1,Orientation,North Center,4,1
JB000128,A,0,19,12,0,0,1,0,0,2026-03-16,1,Orientation,North Center,4,1
JB000129,A,1,28,13,0,0,1,1,2382,2026-03-22,1,Orientation,North Center,4,1
JB000130,A,0,55,17,1,2497,0,1,2813,,,,,,0
JB000131,A,1,48,15,1,2232,1,1,2843,2026-03-21,1,Orientation,North Center,4,1
JB000131,A,1,48,15,1,2232,1,1,2843,2026-04-14,2,Skills workshop,North Center,6,1
JB000132,A,0,36,15,0,0,0,1,2340,,,,,,0
JB000133,A,1,52,17,0,0,1,0,0,2026-03-23,1,Orientation,North Center,4,1
JB000134,A,1,45,12,0,0,0,1,2069,,,,,,0
JB000135,A,1,32,12,1,2110,0,0,0,,,,,,0
JB000136,A,0,24,9,0,0,0,1,1796,,,,,,0
JB000137,A,1,42,13,0,0,1,1,3139,2026-03-07,1,Orientation,North Center,4,1
JB000138,A,0,41,13,0,0,1,0,0,2026-03-16,1,Orientation,North Center,4,1
JB000138,A,0,41,13,0,0,1,0,0,2026-04-17,2,Skills workshop,North Center,6,1
JB000139,A,1,32,9,0,0,1,1,1434,2026-03-13,1,Orientation,North Center,4,1
JB000140,A,0,40,12,0,0,0,1,2676,,,,,,0
JB000141,A,1,32,18,1,2722,0,0,0,,,,,,0
JB000142,A,1,29,15,1,2170,0,0,0,,,,,,0
JB000143,A,1,40,15,0,0,0,1,3266,,,,,,0
JB000144,A,1,37,12,0,0,1,1,3010,2026-03-08,1,Orientation,North Center,4,1
JB000145,A,0,52,13,0,0,1,1,3138,2026-03-03,1,Orientation,North Center,4,1
JB000145,A,0,52,13,0,0,1,1,3138,2026-04-09,2,Skills workshop,North Center,6,1
JB000145,A,0,52,13,0,0,1,1,3138,2026-05-16,3,Job placement,North Center,6,1
JB000146,A,1,36,16,0,0,1,0,0,2026-03-04,1,Orientation,North Center,4,1
JB000147,A,0,46,17,1,2157,1,1,3150,2026-03-05,1,Orientation,North Center,4,1
JB000148,A,1,23,12,0,0,1,1,1609,2026-03-10,1,Orientation,North Center,4,1
JB000149,A,0,41,11,0,0,1,0,0,2026-03-11,1,Orientation,North Center,4,1
JB000149,A,0,41,11,0,0,1,0,0,2026-04-03,2,Skills workshop,North Center,6,1
JB000150,A,1,20,18,0,0,1,0,0,,,,,,0
JB000151,A,0,48,18,0,0,1,1,2889,2026-03-19,1,Orientation,North Center,4,1
JB000152,A,0,31,15,1,2287,0,0,0,,,,,,0
JB000153,A,1,30,13,1,2175,1,1,2342,2026-03-13,1,Orientation,North Center,4,1
JB000153,A,1,30,13,1,2175,1,1,2342,2026-04-06,2,Skills workshop,North Center,6,1
JB000154,A,0,53,13,1,2408,0,1,2651,,,,,,0
JB000155,A,0,38,15,0,0,1,1,2558,2026-03-24,1,Orientation,North Center,4,1
JB000156,A,0,29,18,0,0,0,0,0,,,,,,0
JB000157,A,0,43,15,0,0,0,1,2551,,,,,,0
JB000158,A,1,41,18,1,2455,1,1,3815,2026-03-17,1,Orientation,North Center,4,1
JB000159,A,1,25,14,1,1510,1,0,0,2026-03-03,1,Orientation,North Center,4,1
JB000159,A,1,25,14,1,1510,1,0,0,2026-04-14,2,Skills workshop,North Center,6,1
JB000159,A,1,25,14,1,1510,1,0,0,2026-05-06,3,Job placement,North Center,6,1
JB000160,A,0,45,9,1,1281,0,1,2061,,,,,,0
JB000161,A,1,52,9,1,1931,0,1,1739,,,,,,0
JB000162,A,0,45,14,1,2324,0,0,0,,,,,,0
JB000163,A,1,26,17,0,0,1,1,3409,2026-03-24,1,Orientation,North Center,4,1
JB000164,A,1,43,14,1,2469,0,1,2651,,,,,,0
JB000165,A,1,55,9,0,0,0,1,2260,,,,,,0
JB000166,A,0,24,17,0,0,1,1,2929,2026-03-06,1,Orientation,North Center,4,1
JB000167,A,0,34,11,0,0,1,1,2166,2026-03-24,1,Orientation,North Center,4,1
JB000167,A,0,34,11,0,0,1,1,2166,2026-04-19,2,Skills workshop,North Center,6,1
JB000168,A,1,55,17,0,0,1,0,0,2026-03-24,1,Orientation,North Center,4,1
JB000169,A,0,48,15,1,2449,0,1,2386,,,,,,0
JB000170,A,1,21,16,0,0,1,1,2198,2026-03-24,1,Orientation,North Center,4,1
JB000170,A,1,21,16,0,0,1,1,2198,2026-04-08,2,Skills workshop,North Center,6,1
JB000170,A,1,21,16,0,0,1,1,2198,2026-05-07,3,Job placement,North Center,6,1
JB000171,A,0,49,17,0,0,1,1,3249,,,,,,0
