applicant_id,offered_training
JB000001,1
JB000002,1
JB000003,0
JB000004,0
JB000005,1
JB000006,0
JB000007,1
JB000008,1
JB000009,1
JB000010,1
JB000011,1
JB000012,1
JB000013,0
JB000014,0
JB000015,0
JB000016,1
JB000017,0
JB000018,1
JB000019,0
JB000020,0
JB000021,0
JB000022,0
JB000023,1
JB000024,1
JB000025,0
JB000026,1
JB000027,0
JB000028,1
JB000029,0
JB000030,1
JB000031,1
JB000032,0
JB000033,0
JB000034,0
JB000035,0
JB000036,0
JB000037,1
JB000038,1
JB000039,0
JB000040,0
JB000041,0
JB000042,0
JB000043,1
JB000044,1
JB000045,0
JB000046,1
JB000047,1
JB000048,0
JB000049,0
JB000050,0
JB000051,0
JB000052,1
JB000053,1
JB000054,1
JB000055,1
JB000056,0
JB000057,0
JB000058,0
JB000059,1
JB000060,1
JB000061,1
JB000062,1
JB000063,0
JB000064,0
JB000065,0
JB000066,0
JB000067,1
JB000068,0
JB000069,0
JB000070,1
JB000071,1
JB000072,0
JB000073,1
JB000074,1
JB000075,0
JB000076,1
JB000077,0
JB000078,1
JB000079,1
JB000080,1
JB000081,1
JB000082,1
JB000083,1
JB000084,0
JB000085,0
JB000086,0
JB000087,0
JB000088,1
JB000089,0
JB000090,0
JB000091,1
JB000092,1
JB000093,1
JB000094,0
JB000095,1
JB000096,1
JB000097,1
JB000098,0
JB000099,1
JB000100,0
JB000101,1
JB000102,0
JB000103,0
JB000104,0
JB000105,1
JB000106,1
JB000107,1
JB000108,1
JB000109,0
JB000110,0
JB000111,0
JB000112,1
JB000113,0
JB000114,1
JB000115,0
JB000116,0
JB000117,0
JB000118,0
JB000119,1
JB000120,1
JB000121,1
JB000122,1
JB000123,0
JB000124,0
JB000125,0
JB000126,0
JB000127,1
JB000128,1
JB000129,1
JB000130,0
JB000131,1
JB000132,0
JB000133,1
JB000134,0
JB000135,0
JB000136,0
JB000137,1
JB000138,1
JB000139,1
JB000140,0
JB000141,0
JB000142,0
JB000143,0
JB000144,1
JB000145,1
JB000146,1
JB000147,1
JB000148,1
JB000149,1
JB000150,1
JB000151,1
JB000152,0
JB000153,1
JB000154,0
JB000155,1
JB000156,0
JB000157,0
