applicant_id,session_date,session_number,session_type,training_center,hours_attended
JB000001,2026-03-23,1,Orientation,North Center,4
JB000001,2026-04-21,2,Skills workshop,North Center,6
JB000001,2026-05-24,3,Job placement,North Center,6
JB000002,2026-03-12,1,Orientation,North Center,4
JB000005,2026-03-07,1,Orientation,North Center,4
JB000007,2026-03-22,1,Orientation,North Center,4
JB000008,2026-03-14,1,Orientation,North Center,4
JB000008,2026-04-23,2,Skills workshop,North Center,6
JB000008,2026-05-16,3,Job placement,North Center,6
JB000009,2026-03-17,1,Orientation,North Center,4
JB000009,2026-04-19,2,Skills workshop,North Center,6
JB000010,2026-03-19,1,Orientation,North Center,4
JB000010,2026-04-16,2,Skills workshop,North Center,6
JB000012,2026-03-03,1,Orientation,North Center,4
JB000016,2026-03-05,1,Orientation,North Center,4
JB000018,2026-03-14,1,Orientation,North Center,4
JB000023,2026-03-19,1,Orientation,North Center,4
JB000024,2026-03-04,1,Orientation,North Center,4
JB000026,2026-03-09,1,Orientation,North Center,4
JB000028,2026-03-23,1,Orientation,North Center,4
JB000030,2026-03-12,1,Orientation,North Center,4
JB000031,2026-03-11,1,Orientation,North Center,4
JB000037,2026-03-05,1,Orientation,North Center,4
JB000037,2026-04-22,2,Skills workshop,North Center,6
JB000038,2026-03-06,1,Orientation,North Center,4
JB000043,2026-03-16,1,Orientation,North Center,4
JB000043,2026-04-04,2,Skills workshop,North Center,6
JB000044,2026-03-11,1,Orientation,North Center,4
JB000047,2026-03-19,1,Orientation,North Center,4
JB000052,2026-03-15,1,Orientation,North Center,4
JB000053,2026-03-19,1,Orientation,North Center,4
JB000054,2026-03-19,1,Orientation,North Center,4
JB000054,2026-04-19,2,Skills workshop,North Center,6
JB000055,2026-03-05,1,Orientation,North Center,4
JB000060,2026-03-22,1,Orientation,North Center,4
JB000061,2026-03-13,1,Orientation,North Center,4
JB000061,2026-04-18,2,Skills workshop,North Center,6
JB000062,2026-03-05,1,Orientation,North Center,4
JB000067,2026-03-21,1,Orientation,North Center,4
JB000070,2026-03-07,1,Orientation,North Center,4
JB000071,2026-03-08,1,Orientation,North Center,4
JB000073,2026-03-23,1,Orientation,North Center,4
JB000074,2026-03-15,1,Orientation,North Center,4
JB000074,2026-04-05,2,Skills workshop,North Center,6
JB000074,2026-05-13,3,Job placement,North Center,6
JB000076,2026-03-16,1,Orientation,North Center,4
JB000078,2026-03-23,1,Orientation,North Center,4
JB000079,2026-03-15,1,Orientation,North Center,4
JB000080,2026-03-10,1,Orientation,North Center,4
JB000081,2026-03-13,1,Orientation,North Center,4
JB000082,2026-03-05,1,Orientation,North Center,4
JB000083,2026-03-18,1,Orientation,North Center,4
JB000088,2026-03-14,1,Orientation,North Center,4
JB000088,2026-04-23,2,Skills workshop,North Center,6
JB000091,2026-03-22,1,Orientation,North Center,4
JB000091,2026-04-20,2,Skills workshop,North Center,6
JB000092,2026-03-16,1,Orientation,North Center,4
JB000093,2026-03-08,1,Orientation,North Center,4
JB000095,2026-03-17,1,Orientation,North Center,4
JB000096,2026-03-04,1,Orientation,North Center,4
JB000097,2026-03-24,1,Orientation,North Center,4
JB000097,2026-04-08,2,Skills workshop,North Center,6
JB000099,2026-03-20,1,Orientation,North Center,4
JB000099,2026-04-19,2,Skills workshop,North Center,6
JB000101,2026-03-10,1,Orientation,North Center,4
JB000105,2026-03-24,1,Orientation,North Center,4
JB000106,2026-03-24,1,Orientation,North Center,4
JB000107,2026-03-21,1,Orientation,North Center,4
JB000107,2026-04-07,2,Skills workshop,North Center,6
JB000107,2026-05-23,3,Job placement,North Center,6
JB000108,2026-03-09,1,Orientation,North Center,4
JB000112,2026-03-07,1,Orientation,North Center,4
JB000119,2026-03-24,1,Orientation,North Center,4
JB000121,2026-03-10,1,Orientation,North Center,4
JB000121,2026-04-17,2,Skills workshop,North Center,6
JB000122,2026-03-19,1,Orientation,North Center,4
JB000122,2026-04-03,2,Skills workshop,North Center,6
JB000127,2026-03-16,1,Orientation,North Center,4
JB000128,2026-03-16,1,Orientation,North Center,4
JB000129,2026-03-22,1,Orientation,North Center,4
JB000131,2026-03-21,1,Orientation,North Center,4
JB000131,2026-04-14,2,Skills workshop,North Center,6
JB000133,2026-03-23,1,Orientation,North Center,4
JB000137,2026-03-07,1,Orientation,North Center,4
JB000138,2026-03-16,1,Orientation,North Center,4
JB000138,2026-04-17,2,Skills workshop,North Center,6
JB000139,2026-03-13,1,Orientation,North Center,4
JB000144,2026-03-08,1,Orientation,North Center,4
JB000145,2026-03-03,1,Orientation,North Center,4
JB000145,2026-04-09,2,Skills workshop,North Center,6
JB000145,2026-05-16,3,Job placement,North Center,6
JB000146,2026-03-04,1,Orientation,North Center,4
JB000147,2026-03-05,1,Orientation,North Center,4
JB000148,2026-03-10,1,Orientation,North Center,4
JB000149,2026-03-11,1,Orientation,North Center,4
JB000149,2026-04-03,2,Skills workshop,North Center,6
JB000151,2026-03-19,1,Orientation,North Center,4
JB000153,2026-03-13,1,Orientation,North Center,4
JB000153,2026-04-06,2,Skills workshop,North Center,6
JB000155,2026-03-24,1,Orientation,North Center,4
JB000158,2026-03-17,1,Orientation,North Center,4
JB000159,2026-03-03,1,Orientation,North Center,4
JB000159,2026-04-14,2,Skills workshop,North Center,6
JB000159,2026-05-06,3,Job placement,North Center,6
JB000163,2026-03-24,1,Orientation,North Center,4
JB000166,2026-03-06,1,Orientation,North Center,4
JB000167,2026-03-24,1,Orientation,North Center,4
JB000167,2026-04-19,2,Skills workshop,North Center,6
JB000168,2026-03-24,1,Orientation,North Center,4
JB000170,2026-03-24,1,Orientation,North Center,4
JB000170,2026-04-08,2,Skills workshop,North Center,6
JB000170,2026-05-07,3,Job placement,North Center,6
JB000173,2026-03-11,1,Orientation,North Center,4
JB000176,2026-03-18,1,Orientation,North Center,4
JB000181,2026-03-21,1,Orientation,North Center,4
JB000182,2026-03-10,1,Orientation,North Center,4
JB000183,2026-03-16,1,Orientation,North Center,4
JB000184,2026-03-07,1,Orientation,North Center,4
JB000185,2026-03-10,1,Orientation,North Center,4
JB000185,2026-04-05,2,Skills workshop,North Center,6
JB000188,2026-03-21,1,Orientation,North Center,4
JB000193,2026-03-12,1,Orientation,North Center,4
JB000194,2026-03-12,1,Orientation,North Center,4
JB000198,2026-03-16,1,Orientation,North Center,4
JB000201,2026-03-10,1,Orientation,North Center,4
JB000203,2026-03-03,1,Orientation,North Center,4
JB000203,2026-04-23,2,Skills workshop,North Center,6
JB000203,2026-05-21,3,Job placement,North Center,6
JB000204,2026-03-08,1,Orientation,North Center,4
JB000206,2026-03-18,1,Orientation,North Center,4
JB000206,2026-04-05,2,Skills workshop,North Center,6
JB000209,2026-03-06,1,Orientation,North Center,4
JB000209,2026-04-03,2,Skills workshop,North Center,6
JB000209,2026-05-24,3,Job placement,North Center,6
JB000213,2026-03-22,1,Orientation,North Center,4
JB000215,2026-03-03,1,Orientation,North Center,4
JB000219,2026-03-07,1,Orientation,North Center,4
