applicant_id,site,female,age,education_years,employed_baseline,earnings_baseline
JB000001,A,0,47,16,0,0
JB000002,A,1,39,14,1,1849
JB000003,A,1,24,9,1,952
JB000004,A,1,48,12,1,2245
JB000005,A,0,46,9,0,0
JB000006,A,0,42,12,1,1852
JB000007,A,1,48,15,1,2696
JB000008,A,1,46,15,0,0
JB000009,A,1,36,17,1,2578
JB000010,A,1,23,10,0,0
JB000011,A,1,28,9,1,873
JB000012,A,1,36,17,1,2092
JB000013,A,0,23,17,1,1919
JB000014,A,1,51,14,0,0
JB000015,A,1,50,17,1,2524
JB000016,A,1,23,17,1,2543
JB000017,A,1,19,17,0,0
JB000018,A,1,20,17,1,2400
JB000019,A,0,31,13,0,0
JB000020,A,0,44,15,1,2550
JB000021,A,1,46,16,0,0
JB000022,A,0,36,17,0,0
JB000023,A,1,32,9,1,1377
JB000024,A,0,24,10,0,0
JB000025,A,0,24,11,0,0
JB000026,A,0,51,15,0,0
JB000027,A,0,29,11,1,1490
JB000028,A,1,26,15,0,0
JB000029,A,0,19,14,1,1370
JB000030,A,1,45,15,0,0
JB000031,A,1,20,18,0,0
JB000032,A,0,42,12,0,0
JB000033,A,0,53,15,1,1915
JB000034,A,0,31,11,1,1890
JB000035,A,0,22,15,0,0
JB000036,A,0,50,15,0,0
JB000037,A,0,40,13,0,0
JB000038,A,1,39,13,1,2286
JB000039,A,0,45,16,0,0
JB000040,A,1,48,9,1,1591
JB000041,A,1,22,17,1,2572
JB000042,A,0,41,13,0,0
JB000043,A,0,23,15,1,1604
JB000044,A,0,20,10,0,0
JB000045,A,1,49,9,1,1512
JB000046,A,0,43,12,1,1755
JB000047,A,0,53,13,0,0
JB000048,A,1,22,12,0,0
JB000049,A,0,30,15,0,0
JB000050,A,1,22,10,1,878
JB000051,A,0,44,11,0,0
JB000052,A,1,53,16,1,2954
JB000053,A,1,20,17,0,0
JB000054,A,0,46,14,0,0
JB000055,A,1,32,12,0,0
JB000056,A,0,55,18,0,0
JB000057,A,0,29,11,1,1964
JB000058,A,1,52,17,0,0
JB000059,A,0,52,14,1,2322
JB000060,A,1,34,12,1,1328
JB000061,A,0,39,11,0,0
JB000062,A,0,39,15,0,0
JB000063,A,1,48,18,1,2708
JB000064,A,0,31,9,1,1598
JB000065,A,1,21,11,1,1848
JB000066,A,0,24,12,1,1742
JB000067,A,1,47,11,0,0
JB000068,A,0,20,17,0,0
JB000069,A,1,19,11,0,0
JB000070,A,1,50,11,1,1963
