applicant_id,employed_6m,earnings_6m
JB000001,1,2869
JB000002,1,2379
JB000003,1,1109
JB000004,1,2117
JB000005,0,0
JB000006,0,0
JB000007,0,0
JB000008,1,3336
JB000009,1,2546
JB000010,0,0
JB000011,1,1509
JB000012,1,3212
JB000013,1,2740
JB000014,1,2587
JB000015,1,3165
JB000016,1,2362
JB000017,0,0
JB000018,1,3040
JB000019,1,2675
JB000020,0,0
JB000021,1,2862
JB000022,0,0
JB000023,0,0
JB000024,1,1971
JB000025,1,2326
JB000026,1,2939
JB000027,1,1795
JB000028,0,0
JB000029,0,0
JB000030,1,3458
JB000031,0,0
JB000032,1,2628
JB000033,0,0
JB000034,0,0
JB000035,1,2509
JB000036,1,3499
JB000037,1,2672
JB000038,1,2124
JB000039,1,2720
JB000040,0,0
JB000041,1,2731
JB000042,0,0
JB000043,0,0
JB000044,1,1790
JB000045,1,1539
JB000046,1,2305
JB000047,0,0
JB000048,1,2272
JB000049,1,2650
JB000050,1,1546
JB000051,1,2087
JB000052,1,3629
JB000053,0,0
JB000054,0,0
JB000055,1,2217
JB000056,1,2997
JB000057,1,2487
JB000058,1,2830
JB000059,1,3070
JB000060,1,2197
JB000061,1,2147
JB000062,1,3046
JB000063,1,3665
JB000064,1,2177
JB000065,1,2343
JB000066,1,1674
JB000067,1,2724
JB000068,1,3017
JB000069,0,0
JB000070,1,2449
JB000071,0,0
JB000072,1,2434
JB000073,1,2408
JB000074,1,2747
JB000075,1,1584
JB000076,1,2443
JB000077,0,0
JB000078,0,0
JB000079,1,2441
JB000080,0,0
JB000081,1,2336
JB000082,0,0
JB000083,1,2666
JB000084,1,2841
JB000085,1,3025
JB000086,0,0
JB000087,1,3129
JB000088,1,1671
JB000089,0,0
JB000090,1,2285
JB000091,0,0
JB000092,1,3168
JB000093,1,1602
JB000094,0,0
JB000095,0,0
JB000096,1,2624
JB000097,1,3700
JB000098,1,2278
JB000099,0,0
JB000100,1,1771
JB000101,0,0
JB000102,0,0
JB000103,1,2854
JB000104,0,0
JB000105,1,2660
JB000106,0,0
JB000107,1,1940
JB000108,1,1240
JB000109,1,3330
JB000110,0,0
JB000111,0,0
JB000112,1,2389
JB000113,1,2575
JB000114,1,2200
JB000115,0,0
JB000116,1,2615
JB000117,1,2778
JB000118,1,2969
JB000119,0,0
JB000120,1,2386
JB000121,1,2309
JB000122,1,2551
JB000123,0,0
JB000124,1,2454
JB000125,1,1913
JB000126,1,2331
JB000127,1,2104
JB000128,0,0
JB000129,1,2382
JB000130,1,2813
JB000131,1,2843
JB000132,1,2340
JB000133,0,0
JB000134,1,2069
JB000135,0,0
JB000136,1,1796
JB000137,1,3139
JB000138,0,0
JB000139,1,1434
JB000140,1,2676
JB000141,0,0
JB000142,0,0
JB000143,1,3266
JB000144,1,3010
JB000145,1,3138
JB000146,0,0
JB000147,1,3150
JB000148,1,1609
JB000149,0,0
JB000150,0,0
JB000151,1,2889
JB000152,0,0
JB000153,1,2342
JB000154,1,2651
JB000155,1,2558
JB000156,0,0
JB000157,1,2551
JB000158,1,3815
JB000159,0,0
JB000160,1,2061
JB000161,1,1739
JB000162,0,0
JB000163,1,3409
JB000164,1,2651
JB000165,1,2260
JB000166,1,2929
JB000167,1,2166
JB000168,0,0
JB000169,1,2386
JB000170,1,2198
JB000171,1,3249
JB000172,1,1821
JB000173,1,3253
JB000174,0,0
JB000175,1,2834
JB000176,1,1680
JB000177,1,3312
JB000178,1,2216
JB000179,1,2273
JB000180,1,2834
JB000181,1,2278
JB000182,1,2532
JB000183,1,2911
JB000184,1,2582
JB000185,0,0
JB000186,1,2587
JB000187,1,2062
JB000188,0,0
JB000189,0,0
JB000190,0,0
JB000191,0,0
JB000192,1,2146
JB000193,1,3441
JB000194,1,3198
JB000195,1,2217
JB000196,1,3806
JB000197,0,0
JB000198,0,0
JB000199,0,0
JB000200,1,2751
JB000201,0,0
JB000202,1,2584
JB000203,0,0
JB000204,1,3239
JB000205,0,0
JB000206,1,2626
JB000207,0,0
JB000208,1,2373
JB000209,0,0
JB000210,1,2121
JB000211,1,1559
JB000212,0,0
JB000213,1,3048
JB000214,1,2851
JB000215,0,0
JB000216,0,0
JB000217,1,2882
JB000218,1,2711
JB000219,1,3308
JB000220,0,0
JB000221,0,0
JB000222,0,0
JB000223,1,2087
JB000224,1,2442
JB000225,0,0
JB000226,1,2277
JB000227,1,3013
JB000228,1,1721
JB000229,0,0
JB000230,1,1475
JB000231,1,2479
JB000232,1,1793
JB000233,1,2270
JB000234,0,0
JB000235,1,2873
JB000236,1,1724
JB000237,1,1801
JB000238,1,3183
JB000239,0,0
JB000240,0,0
JB000241,1,2460
JB000242,1,1829
JB000243,1,3440
JB000244,1,2372
JB000245,0,0
JB000246,1,2856
JB000247,1,2232
JB000248,1,3254
JB000249,0,0
JB000250,1,2966
JB000251,1,1394
JB000252,1,3399
JB000253,1,2337
JB000254,0,0
JB000255,1,2954
JB000256,1,2084
JB000257,1,1965
JB000258,0,0
JB000259,1,2157
JB000260,1,2720
JB000261,1,3119
JB000262,1,1984
JB000263,0,0
JB000264,1,2922
JB000265,0,0
JB000266,1,1748
JB000267,0,0
JB000268,1,1319
JB000269,0,0
JB000270,0,0
JB000271,1,1762
JB000272,1,2426
JB000273,1,2280
JB000274,1,1937
JB000275,1,1897
JB000276,1,2365
JB000277,0,0
JB000278,1,2425
JB000279,1,2372
JB000280,0,0
JB000281,0,0
JB000282,1,2913
JB000283,1,3303
JB000284,1,2820
JB000285,1,2973
JB000286,1,2762
JB000287,0,0
JB000288,0,0
JB000289,0,0
JB000290,1,2365
JB000291,1,3030
JB000292,0,0
JB000293,1,2512
JB000294,0,0
JB000295,1,2446
JB000296,0,0
JB000297,0,0
JB000298,1,2753
JB000299,1,3099
JB000300,0,0
JB000301,0,0
JB000302,0,0
JB000303,1,3895
JB000304,0,0
JB000305,1,1965
JB000306,0,0
JB000307,0,0
JB000308,1,2567
